Player ID,First Name,Last Name,Team ID,Team,Roster URL,Missing Position,Missing Height,Missing Class
7717,Keiara,Curtis,110,Hawaii,,X,,
6119,Kira-May,Filemu,110,Hawaii,,X,,
7715,Bailey,Flavell,110,Hawaii,,X,,
6121,Danijela,Kujovic,110,Hawaii,,X,,
6118,Rebecca,Moors,110,Hawaii,,X,,
5445,Saniyah,Neverson,110,Hawaii,,X,,
2199,Imani,Perez,110,Hawaii,,X,,
7716,Fiamma,Serra,110,Hawaii,,X,,
7719,Kyra,Webb,110,Hawaii,,X,,
5760,Aaliyah,Collins,111,High Point,,X,,
8056,Sky,Donaie,111,High Point,,X,,
5758,Peyton,Gerdes,111,High Point,,X,,
5754,Anna,Hager,111,High Point,,X,,
6395,Kenaya,Klintman,111,High Point,,X,,
8057,Kelsey,Miller,111,High Point,,X,,
6396,Dom,Nesland,111,High Point,,X,,
6390,Chana,Paxixe,111,High Point,,X,,
6397,Dakota,Phillips,111,High Point,,X,,
7833,Brecken,Snotherly,111,High Point,,X,,
2351,Macy,Spencer,111,High Point,,X,,
5753,Nevaeh,Zavala,111,High Point,,X,,
2000,Martina,Monton,122,Incarnate Word,,,X,
1999,Madison,Williams,122,Incarnate Word,,,X,
2001,Sedelia,Wilson-Larkin,122,Incarnate Word,,,X,
1315,Shay,Ciezki,123,Indiana,,,X,X
9485,Addison,Deal,126,Iowa,,X,X,X
5692,Tatyonna,Brown,133,Kansas,,X,,
5572,Laia,Conesa,133,Kansas,,X,,
5574,Sania,Copeland,133,Kansas,,X,,
5690,Jaliya,Davis,133,Kansas,,X,,
5575,Nadira,Eltayeb,133,Kansas,,X,,
5573,Elle,Evans,133,Kansas,,X,,
5691,Libby,Fandel,133,Kansas,,X,,
5577,Brittany,Harshaw,133,Kansas,,X,,
1121,Lilly,Meister,133,Kansas,,X,,
5571,S'Mya,Nichols,133,Kansas,,X,,
5693,Keeley,Parks,133,Kansas,,X,,
5570,Regan,Williams,133,Kansas,,X,,
15042,Mya,Babbitt,136,Kent State,,X,X,X
15049,Anna,Campanelli,136,Kent State,,X,X,X
15046,Dionna,Gray,136,Kent State,,X,X,X
15050,Journey,Hildebrand,136,Kent State,,X,X,X
15052,Caitlyn,Holmes,136,Kent State,,X,X,X
15051,Bianca,Juzzo,136,Kent State,,X,X,X
15043,Rylee,Kalocay,136,Kent State,,X,X,X
15047,Emory,Klatt,136,Kent State,,X,X,X
15048,Meghan,Murray,136,Kent State,,X,X,X
15044,Riley,Rismiller,136,Kent State,,X,X,X
15045,Tatiana,Thomas,136,Kent State,,X,X,X
1297,Amelia,Hassett,137,Kentucky,,,X,X
311,Teonni,Key,137,Kentucky,,,X,X
220,Tonie,Morgan,137,Kentucky,,,X,X
1302,Jordan,Obi,137,Kentucky,,,X,X
746,Flau'jae,Johnson,157,LSU,,,X,X
4985,Ashleigh,Connor,138,La Salle,,X,,
5043,Ava,Hoy,138,La Salle,,X,,
4990,Sania,Jenkins,138,La Salle,,X,,
4830,Aryss,Macktoon,138,La Salle,,X,,
5044,Yar,Manyiel,138,La Salle,,X,,
5046,Ivona,Miljanic,138,La Salle,,X,,
5042,Amiya,Moses,138,La Salle,,X,,
4993,Lauren,Patnode,138,La Salle,,X,,
4986,Anna,Przyszlak,138,La Salle,,X,,
4984,Joan,Quinn,138,La Salle,,X,,
5047,Charity,Sawyer,138,La Salle,,X,X,
5045,India,Webb,138,La Salle,,X,X,
539,Kiara,Williams,138,La Salle,,X,,
5118,Melani,Dowling,142,Lehigh,,,X,
395,Elisabeth,Aegisdottir,143,Liberty,,X,,
410,Maleah,Alexander,143,Liberty,,X,,
719,Zeynep,Avci,143,Liberty,,X,,
717,Emma,Leon,143,Liberty,,X,,
404,Avery,Mills,143,Liberty,,X,,
718,Lydie,Mwamba,143,Liberty,,X,,
408,Ify,Nwaobi,143,Liberty,,X,,
716,Lynn,Peters,143,Liberty,,X,,
409,Emmy,Stout,143,Liberty,,X,,
184,JaKayla,Thompson,143,Liberty,,X,,
7706,Rosie,Akot,147,Long Beach State,,X,,
7610,Lauren,Cummings,147,Long Beach State,,X,,
7679,JaQuoia,Jones-Brown,147,Long Beach State,,X,,
7613,Kennan,Ka,147,Long Beach State,,X,,
7705,Morgan,Mack,147,Long Beach State,,X,,
3360,Judit,Oliva Fernandez,147,Long Beach State,,X,,
2304,Khylee,Pepe,147,Long Beach State,,X,,
7707,Brynna,Pukis,147,Long Beach State,,X,,
7682,Christy,Reynoso,147,Long Beach State,,X,,
16695,Tairat,Samuel  - Afolabi,147,Long Beach State,,X,X,X
7681,Haley,Wright,147,Long Beach State,,X,,
4982,Jaci,Bolden,149,Longwood,,X,,
4979,Olivia,Bowes,149,Longwood,,X,,
4806,Malea,Brown,149,Longwood,,X,,
4805,Otaifo,Esenabhalu,149,Longwood,,X,,
4815,Amor,Harris,149,Longwood,,X,,
6840,Jasmine,Peaks,149,Longwood,,X,,
4977,JaMya,Robinson,149,Longwood,,X,,
7480,Jesstynie,Scott,149,Longwood,,X,,
4811,Nalani,Simmons,149,Longwood,,X,,
4804,Frances,Ulysse,149,Longwood,,X,,
7483,Kayla,Washington,149,Longwood,,X,,
3294,Marina,Artero,150,Louisiana,,X,,
3299,Lily,Ba,150,Louisiana,,X,,
3295,Imani,Daniel,150,Louisiana,,X,,
3147,Jazmyne,Jackson,150,Louisiana,,X,,
3303,Sierra,Jones,150,Louisiana,,X,,
2742,Mikaylah,Manley,150,Louisiana,,X,,
3301,Stephanie,Mosley,150,Louisiana,,X,,
