Player ID,First Name,Last Name,Team,Season,Roster URL,Position,Height,Class
13925,Alli,VanKooten,UNRESOLVED (-1),2025-26,,,,
13926,Allie,Miller,UNRESOLVED (-1),2025-26,,,,
13927,Chloe,Auble,UNRESOLVED (-1),2025-26,,,,
13928,Izabella,Forker,UNRESOLVED (-1),2025-26,,,,
13929,Abbie,Mullins,UNRESOLVED (-1),2025-26,,,,
13930,Leyna,Gorauskas,UNRESOLVED (-1),2025-26,,,,
13931,Madi,Brooks,UNRESOLVED (-1),2025-26,,,,
13932,Eva,Serra,UNRESOLVED (-1),2025-26,,,,
13933,Kaden,Saguchi,UNRESOLVED (-1),2025-26,,,,
13934,Grace,Weede,UNRESOLVED (-1),2025-26,,,,
13951,Shelbi,LaBrie,UNRESOLVED (-1),2025-26,,,,
13956,Shiyah,Forte,Kentucky State,2025-26,https://ksuthorobreds.com/sports/womens-basketball/stats/2025-26,,,
13957,Jazmin,Chambers,Kentucky State,2025-26,https://ksuthorobreds.com/sports/womens-basketball/stats/2025-26,,,
13960,Tyonna,Bailey,UNRESOLVED (-1),2025-26,,,,
13961,Alaina,Nettles,UNRESOLVED (-1),2025-26,,,,
13962,Mya,Dotson,UNRESOLVED (-1),2025-26,,,,
13963,Courtney,Davis,UNRESOLVED (-1),2025-26,,,,
13964,Alba,Garcia,UNRESOLVED (-1),2025-26,,,,
13965,Caelan,Ellis,UNRESOLVED (-1),2025-26,,,,
13966,Thelma,Barbitch,UNRESOLVED (-1),2025-26,,,,
13967,Nevaeh,Jones,UNRESOLVED (-1),2025-26,,,,
13968,Asha,Sra,UNRESOLVED (-1),2025-26,,,,
13969,Sydney,Bradley,UNRESOLVED (-1),2025-26,,,,
13970,Aïssé,Coulibaly,UNRESOLVED (-1),2025-26,,,,
13971,Maureen,Okoli,Lane,2025-26,https://golcdragons.com/sports/womens-basketball/stats/2025-26,,,
13973,Breana,Griffin,Tuskegee,2025-26,https://goldentigersports.com/sports/womens-basketball/stats/2025-26,,,
13974,Jayden,Bullard,Tuskegee,2025-26,https://goldentigersports.com/sports/womens-basketball/stats/2025-26,,,
13976,Donyeil,Bolton,Tuskegee,2025-26,https://goldentigersports.com/sports/womens-basketball/stats/2025-26,,,
13977,Aniya,Barron,Albany State (GA),2025-26,https://asugoldenrams.com/sports/womens-basketball/stats/2025-26,,,
13979,Zephaniah,Parks,Miles,2025-26,https://milesgoldenbears.com/sports/womens-basketball/stats/2025-26,,,
14030,Janae,Southall,Arkansas - Monticello,2025-26,https://www.uamsports.com/sports/womens-basketball/stats/2025-26,,,
14033,Brenna,Howard,UNRESOLVED (-1),2025-26,,,,
14036,Raylee,Gaston,Northeastern State,2025-26,https://goriverhawksgo.com/sports/womens-basketball/stats/2025-26,,"5' 8""",FR
14038,Kayley,Alt,Northeastern State,2025-26,https://goriverhawksgo.com/sports/womens-basketball/stats/2025-26,,"5' 9""",JR
14039,Alexis,Schell,Northeastern State,2025-26,https://goriverhawksgo.com/sports/womens-basketball/stats/2025-26,,"5' 11""",FR
14069,Ja'Nae,Southall,Arkansas - Monticello,2025-26,https://www.uamsports.com/sports/womens-basketball/stats/2025-26,,,
